frame,0.0-5.0,5.0-10.0,10.0-15.0,15.0-20.0,20.0-25.0,25.0-30.0,30.0-35.0,35.0-40.0,40.0-45.0,45.0-50.0,50.0-55.0,55.0-60.0,60.0-65.0,65.0-70.0,70.0-75.0,75.0-80.0,80.0-85.0,85.0-90.0,90.0-95.0,95.0-100.0,100.0-105.0,105.0-110.0,110.0-115.0,115.0-120.0,120.0-125.0,125.0-130.0,130.0-135.0,135.0-140.0,140.0-145.0,145.0-150.0,150.0-155.0,155.0-160.0,160.0-165.0,165.0-170.0,170.0-175.0,175.0-180.0
781,2,3,0,3,1,0,0,1,0,0,1,1,1,2,0,2,2,2,0,2,1,0,1,2,1,1,1,1,0,0,3,1,0,3,1,2
786,1,0,0,1,1,0,0,0,0,1,1,1,1,0,2,3,0,1,1,1,1,2,2,0,1,2,0,1,1,1,1,2,1,0,2,4
791,0,0,1,2,0,1,2,0,2,0,1,0,1,2,0,0,1,0,3,0,3,0,1,1,1,0,0,1,1,0,2,2,0,1,1,3
796,1,0,0,1,0,1,0,0,0,3,0,0,1,3,0,0,0,2,2,3,2,0,2,1,2,1,0,1,1,1,1,0,2,0,3,2
801,4,1,0,2,0,0,0,0,0,1,0,0,2,2,2,0,0,4,0,3,1,1,1,1,0,2,2,1,0,1,1,2,1,0,0,1
806,1,0,0,1,0,1,0,1,1,2,0,0,0,0,2,1,1,2,3,2,0,2,2,0,3,1,1,1,1,1,1,2,0,0,3,1
811,0,2,1,1,0,0,3,0,0,1,0,0,1,2,0,2,2,0,2,3,0,0,1,0,0,2,1,2,1,1,1,1,0,0,2,3
816,0,0,1,2,1,1,0,0,0,0,0,1,0,3,0,2,4,0,0,2,1,2,2,0,1,0,0,2,0,3,0,2,0,0,1,3
821,0,0,0,1,1,0,1,1,0,0,0,1,1,1,1,2,2,1,2,0,2,0,0,2,1,0,3,1,1,1,1,0,2,0,3,1
826,2,1,0,1,1,0,0,1,0,0,0,2,0,2,3,0,2,0,0,0,1,6,3,0,1,1,2,0,0,0,1,1,1,2,0,2
831,1,0,2,0,1,1,0,0,0,1,0,2,1,0,0,0,2,2,5,2,0,0,0,2,1,3,0,1,1,0,1,2,0,1,3,2
836,3,2,1,0,1,0,0,0,0,1,1,1,1,0,1,1,2,2,1,2,1,0,1,0,0,3,0,2,1,1,1,2,1,0,1,1
841,4,1,0,1,1,0,1,0,1,0,1,0,1,1,0,2,1,2,2,2,0,0,1,1,1,2,1,0,1,2,1,0,0,3,2,0
